Linha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
833,8,8,6,1,5,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0
834,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
955,0,0,0,0,0,1,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835,12,11,12,11,12,12,12,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0
956,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
836,2,2,2,2,2,2,2,2,2,2,3,3,4,4,3,0,0,0,0,0,0,0,0,0
957,0,0,0,1,1,5,6,4,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
837,7,7,7,7,6,7,7,8,9,9,9,9,8,9,9,0,0,0,0,0,0,0,0,0
838,16,16,17,17,17,17,17,16,15,15,15,15,15,15,13,0,0,0,0,0,0,0,0,0
839,2,3,1,0,2,3,4,5,5,5,4,5,6,6,5,0,0,0,0,0,0,0,0,0
SPB484,0,0,0,0,0,0,4,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SV774,14,14,13,6,1,3,2,2,3,2,2,3,3,4,4,3,3,4,6,7,8,14,15,15
SVB665,4,4,4,4,3,5,9,9,9,8,6,7,9,8,7,7,5,7,7,8,8,5,6,4
SV777,0,0,0,0,0,0,7,6,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SV779,16,17,17,17,15,13,13,12,16,16,16,16,16,14,16,16,15,15,17,15,15,16,16,14
840,15,15,10,2,11,15,15,16,16,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0
2115,0,0,0,0,1,4,7,8,5,4,0,0,0,0,0,1,5,5,8,7,4,3,0,0
841,8,8,7,2,5,6,8,8,8,8,8,8,6,6,6,0,0,0,0,0,0,0,0,0
2114,2,3,3,3,3,13,24,30,34,39,37,30,31,28,25,29,33,34,32,28,19,16,11,4
600,21,21,19,8,9,16,27,30,31,31,30,30,29,30,29,30,32,33,33,33,32,29,29,26
721,11,11,10,10,13,8,11,12,13,13,7,7,7,7,7,8,8,8,8,8,8,9,11,9
601,16,12,11,4,7,11,16,18,18,18,18,18,19,18,19,19,19,19,20,20,20,19,15,11
843,9,9,9,8,9,9,10,9,8,8,8,9,9,9,10,0,0,0,0,0,0,0,0,0
2112,0,0,0,0,3,7,16,20,18,14,12,9,11,9,9,7,9,10,10,10,9,7,3,0
723,5,1,1,2,7,12,13,13,13,13,13,13,13,13,13,12,13,13,12,12,11,11,11,8
844,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
602,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
603,13,13,13,13,12,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13
845,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
846,4,2,0,1,6,13,14,15,15,15,14,14,14,14,12,0,0,0,0,0,0,0,0,0
725,0,0,0,0,0,0,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
605,7,7,6,6,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7
847,1,0,0,0,2,4,4,4,4,4,4,4,4,4,5,0,0,0,0,0,0,0,0,0
606,33,33,33,15,15,25,33,33,36,39,38,40,39,38,38,38,39,38,36,40,38,39,36,35
727,19,18,18,19,12,3,3,4,10,8,9,9,10,9,10,11,11,11,10,10,11,14,14,15
848,3,0,0,1,2,4,4,4,4,4,4,7,8,8,3,0,0,0,0,0,0,0,0,0
849,10,10,7,2,6,7,8,8,9,9,9,9,9,9,8,0,0,0,0,0,0,0,0,0
607,17,16,16,16,19,39,39,38,38,36,36,38,38,38,39,40,40,40,40,40,37,34,32,24
608,11,11,10,10,10,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
609,3,3,3,2,3,3,2,3,3,3,4,4,3,3,4,5,6,4,5,5,4,5,5,5
SPC484,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SV685,2,0,0,0,1,1,3,5,7,12,11,9,9,10,10,8,9,9,8,9,7,10,6,4
2251,27,27,27,20,9,12,20,25,25,24,24,24,24,26,26,26,26,26,26,26,26,26,26,25
850,2,2,2,0,3,5,6,6,7,7,7,8,8,8,8,0,0,0,0,0,0,0,0,0
851,12,12,12,12,11,12,15,12,13,12,12,11,10,11,11,0,0,0,0,0,0,0,0,0
852,7,7,7,7,7,7,10,9,8,7,8,7,7,7,7,0,0,0,0,0,0,0,0,0
731,7,4,5,3,3,10,13,13,12,12,12,12,12,12,11,0,0,0,0,0,0,0,0,0
611,10,9,8,4,1,8,13,14,14,14,13,13,13,13,13,14,14,14,14,13,12,12,10,10
612,5,5,5,3,1,0,3,5,5,7,7,6,6,6,6,6,6,5,6,6,6,6,6,5
734,10,9,6,5,12,17,21,21,22,22,22,22,22,22,21,11,0,0,0,20,21,20,18,16
613,5,5,4,4,6,14,16,17,17,18,15,14,15,15,12,13,16,16,17,18,15,8,9,9
614,5,2,2,2,4,8,12,14,13,14,14,13,12,12,11,12,13,13,15,16,14,12,12,9
615,10,11,11,11,7,8,9,10,10,10,10,10,10,10,10,10,11,11,10,10,9,9,9,9
737,1,0,0,0,4,4,4,5,5,5,5,5,4,3,4,0,0,0,0,0,0,0,0,0
616,0,0,0,0,0,1,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2
738,11,11,9,1,4,8,11,11,11,11,11,11,10,10,10,0,0,0,0,0,0,0,0,0
859,2,1,1,1,2,3,4,3,4,4,4,3,4,3,3,4,3,4,3,4,4,3,4,3
2381,16,17,17,17,18,18,18,19,19,18,18,18,17,18,18,0,0,0,0,0,0,0,0,0
2018,23,23,22,23,22,23,23,20,20,21,21,21,21,21,21,20,19,21,20,19,19,20,20,20
SV790,7,4,2,2,3,5,8,10,10,10,10,9,9,10,9,0,0,0,0,0,0,0,0,0
860,3,2,2,2,1,8,13,14,16,16,16,15,15,14,14,4,0,0,0,16,16,12,6,4
861,12,10,10,8,13,22,27,28,26,26,27,26,28,27,26,26,29,27,25,26,24,21,13,11
2017,7,6,6,6,7,7,10,9,9,9,9,9,9,11,12,11,11,12,10,10,10,10,9,10
862,11,12,8,8,11,20,31,34,34,33,28,24,23,22,22,22,27,31,30,33,28,21,20,13
741,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,11,11,10,10,11,11,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9
863,7,5,3,1,5,9,19,21,21,21,18,14,15,14,14,16,17,17,16,19,15,12,14,12
621,1,1,1,1,5,12,17,18,18,18,18,18,21,21,18,17,17,17,15,18,19,17,13,8
742,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864,49,49,48,48,49,49,53,52,52,51,51,51,50,51,51,0,0,0,0,0,0,0,0,0
622,2,2,2,2,5,8,14,16,16,16,16,16,18,17,16,21,25,24,21,20,17,16,11,6
2014,3,3,3,3,3,4,8,8,8,7,7,7,7,6,6,7,7,7,8,8,8,8,8,7
501,1,1,0,1,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,1,1
743,0,0,0,0,0,0,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623,3,2,1,2,1,5,10,12,12,12,14,14,15,15,14,15,15,13,16,17,17,16,13,7
744,0,0,0,0,0,0,5,5,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
624,20,11,3,4,15,35,40,40,41,41,41,41,39,39,39,35,40,42,42,42,42,42,39,36
866,12,12,12,12,12,12,14,13,13,13,12,12,9,11,10,0,0,0,0,0,0,0,0,0
